rho_meas/10kg/m³;p/bar;T/C;rho_calc
114.94799999999999;76.928700000000006;62.969700000000003;1150.9423037465467
115.54600000000001;67.619900000000001;68.132499999999993;1156.4123151137808
116.604;59.177599999999998;86.539500000000004;1161.773263781171
116.999;51.652500000000003;90.3245;1166.0796511859721
117.366;43.346299999999999;92.954899999999995;1170.741955303708
117.127;45.611600000000003;85.688900000000004;1169.2559387122756
117.681;24.384699999999999;79.598399999999998;1180.7084390028692
117.379;23.402699999999999;68.158299999999997;1180.881142665846
117.807;28.3353;89.392700000000005;1178.8505051451177
114.738;72.079499999999996;48.146799999999999;1153.2050393317543
117.697;17.599399999999999;42.8613;1183.3099761042097
117.66200000000001;13.2729;32.367600000000003;1185.4435979493278
115.874;41.274799999999999;19.632300000000001;1169.442375114849
116.80500000000001;29.3613;28.6614;1176.2984120093211
116.27200000000001;44.380400000000002;39.572299999999998;1168.3969519106183
115.38800000000001;50.566600000000001;22.945799999999998;1164.4221851697621
115.69499999999999;61.990000000000002;60.288699999999999;1159.3150467631631
117.47799999999999;18.068100000000001;60.427500000000002;1183.610258168359
114.636;69.665599999999998;41.513199999999998;1154.3503816151945
117.947;11.3858;42.837899999999998;1186.8713109087271
117.047;22.640999999999998;25.013999999999999;1179.9035831681599
116.22499999999999;41.837699999999998;32.5871;1169.5641751449491
115.869;49.049100000000003;35.265099999999997;1165.6758837450809
116.392;55.883699999999997;70.629300000000001;1163.0731109866385
116.312;45.617800000000003;56.371899999999997;1168.2757875192515
115.92100000000001;61.200699999999998;66.803600000000003;1159.9773285907793
116.09999999999999;63.084499999999998;75.609899999999996;1159.2187017568517
115.767;54.378799999999998;55.8825;1163.4139477036922
116.62;50.453899999999997;63.719900000000003;1165.8522949941889
116.152;49.529000000000003;47.637999999999998;1165.8251503962745
116.83;47.640799999999999;71.529799999999994;1167.6666841545191
117.31;36.3352;80.024799999999999;1174.1575816300458
117.004;34.209299999999999;65.766099999999994;1174.8530991137079
117.099;38.189700000000002;72.463200000000001;1172.8915143797351
116.872;42.223500000000001;63.857399999999998;1170.3923996680776
116.70699999999999;36.916699999999999;56.922699999999999;1173.0759677569158
117.01600000000001;33.048699999999997;47.692399999999999;1174.8949294312847
117.432;24.296199999999999;48.574100000000001;1179.7496882370738
117.282;25.456499999999998;40.4193;1178.8410221963106
116.694;38.103999999999999;42.7759;1171.9556828466366
116.631;40.861600000000003;50.128900000000002;1170.6846045449913
114.73099999999999;75.0839;53.587600000000002;1151.677522271003
115.179;67.646699999999996;53.153399999999998;1155.8890375303442
115.30500000000001;61.353999999999999;42.281399999999998;1159.062799281329
115.76300000000001;54.6755;43.2639;1162.824614637186
117.227;29.470800000000001;69.957300000000004;1177.5918817239874
117.087;27.968;63.201599999999999;1178.1978704316055
117.871;16.054200000000002;51.797699999999999;1184.4723320663918
